,year,ann,Country,Season,Temperature,
,,,,,,
1,1885,5.96,Scotland,win,1.68,
2,1885,5.96,Scotland,spr,4.83,
3,1885,5.96,Scotland,sum,11.21,
4,1885,5.96,Scotland,aut,5.76,
5,1886,5.94,Scotland,win,1.07,
6,1886,5.94,Scotland,spr,4.52,
7,1886,5.94,Scotland,sum,11.46,
8,1886,5.94,Scotland,aut,7.63,
9,1887,6.58,Scotland,win,1.76,
10,1887,6.58,Scotland,spr,5.13,
11,1887,6.58,Scotland,sum,12.79,
12,1887,6.58,Scotland,aut,6.04,
13,1888,6.18,Scotland,win,1.47,
14,1888,6.18,Scotland,spr,4.32,
15,1888,6.18,Scotland,sum,10.64,
16,1888,6.18,Scotland,aut,7.33,
17,1889,7.04,Scotland,win,2.92,
18,1889,7.04,Scotland,spr,6.09,
19,1889,7.04,Scotland,sum,12.09,
20,1889,7.04,Scotland,aut,7.24,
21,1890,6.96,Scotland,win,3.11,
22,1890,6.96,Scotland,spr,6.2,
23,1890,6.96,Scotland,sum,11.1,
24,1890,6.96,Scotland,aut,8.1,
25,1891,6.55,Scotland,win,2.35,
26,1891,6.55,Scotland,spr,4.04,
27,1891,6.55,Scotland,sum,11.97,
28,1891,6.55,Scotland,aut,7.21,
29,1892,5.7,Scotland,win,1.7,
30,1892,5.7,Scotland,spr,4.68,
31,1892,5.7,Scotland,sum,11.02,
32,1892,5.7,Scotland,aut,6.13,
33,1893,7.43,Scotland,win,1.25,
34,1893,7.43,Scotland,spr,7.34,
35,1893,7.43,Scotland,sum,13.12,
36,1893,7.43,Scotland,aut,6.66,
37,1894,6.96,Scotland,win,2.68,
38,1894,6.96,Scotland,spr,6.07,
39,1894,6.96,Scotland,sum,11.97,
40,1894,6.96,Scotland,aut,7.24,
41,1895,6.2,Scotland,win,-0.32,
42,1895,6.2,Scotland,spr,6.24,
43,1895,6.2,Scotland,sum,12.05,
44,1895,6.2,Scotland,aut,7.16,
45,1896,7.07,Scotland,win,3.08,
46,1896,7.07,Scotland,spr,6.92,
47,1896,7.07,Scotland,sum,11.86,
48,1896,7.07,Scotland,aut,6.29,
49,1897,6.8,Scotland,win,1.75,
50,1897,6.8,Scotland,spr,4.88,
51,1897,6.8,Scotland,sum,12.59,
52,1897,6.8,Scotland,aut,7.72,
53,1898,7.55,Scotland,win,3.43,
54,1898,7.55,Scotland,spr,5.58,
55,1898,7.55,Scotland,sum,11.95,
56,1898,7.55,Scotland,aut,8.41,
57,1899,7.12,Scotland,win,2.99,
58,1899,7.12,Scotland,spr,4.9,
59,1899,7.12,Scotland,sum,13.51,
60,1899,7.12,Scotland,aut,8.26,
61,1900,6.84,Scotland,win,1.12,
62,1900,6.84,Scotland,spr,5.2,
63,1900,6.84,Scotland,sum,12.42,
64,1900,6.84,Scotland,aut,7.21,
65,1901,7.01,Scotland,win,2.98,
66,1901,7.01,Scotland,spr,6,
67,1901,7.01,Scotland,sum,12.72,
68,1901,7.01,Scotland,aut,7.48,
69,1902,6.43,Scotland,win,1.28,
70,1902,6.43,Scotland,spr,5.18,
71,1902,6.43,Scotland,sum,10.77,
72,1902,6.43,Scotland,aut,7.91,
73,1903,6.6,Scotland,win,2.97,
74,1903,6.6,Scotland,spr,5.37,
75,1903,6.6,Scotland,sum,11.09,
76,1903,6.6,Scotland,aut,7.38,
77,1904,6.81,Scotland,win,1.94,
78,1904,6.81,Scotland,spr,5.43,
79,1904,6.81,Scotland,sum,11.96,
80,1904,6.81,Scotland,aut,7.39,
81,1905,7.19,Scotland,win,3.16,
82,1905,7.19,Scotland,spr,5.8,
83,1905,7.19,Scotland,sum,12.62,
84,1905,7.19,Scotland,aut,6.49,
85,1906,7,Scotland,win,3.13,
86,1906,7,Scotland,spr,4.9,
87,1906,7,Scotland,sum,12.4,
88,1906,7,Scotland,aut,8.44,
89,1907,6.62,Scotland,win,2.11,
90,1907,6.62,Scotland,spr,5.83,
91,1907,6.62,Scotland,sum,10.64,
92,1907,6.62,Scotland,aut,7.59,
93,1908,7.28,Scotland,win,2.82,
94,1908,7.28,Scotland,spr,5.2,
95,1908,7.28,Scotland,sum,11.97,
96,1908,7.28,Scotland,aut,8.93,
97,1909,6.32,Scotland,win,2.87,
98,1909,6.32,Scotland,spr,5.04,
99,1909,6.32,Scotland,sum,11.4,
100,1909,6.32,Scotland,aut,6.61,
101,1910,6.79,Scotland,win,1.43,
102,1910,6.79,Scotland,spr,5.81,
103,1910,6.79,Scotland,sum,11.95,
104,1910,6.79,Scotland,aut,6.76,
105,1911,7.38,Scotland,win,3.51,
106,1911,7.38,Scotland,spr,6.19,
107,1911,7.38,Scotland,sum,13.01,
108,1911,7.38,Scotland,aut,6.81,
109,1912,6.78,Scotland,win,2.86,
110,1912,6.78,Scotland,spr,6.65,
111,1912,6.78,Scotland,sum,11.24,
112,1912,6.78,Scotland,aut,6.53,
113,1913,7.24,Scotland,win,2.95,
114,1913,7.24,Scotland,spr,5.63,
115,1913,7.24,Scotland,sum,12.05,
116,1913,7.24,Scotland,aut,8.36,
117,1914,7.35,Scotland,win,3.2,
118,1914,7.35,Scotland,spr,6.16,
119,1914,7.35,Scotland,sum,12.58,
120,1914,7.35,Scotland,aut,7.83,
121,1915,6.46,Scotland,win,1.85,
122,1915,6.46,Scotland,spr,5.4,
123,1915,6.46,Scotland,sum,12,
124,1915,6.46,Scotland,aut,6.52,
125,1916,6.89,Scotland,win,2.87,
126,1916,6.89,Scotland,spr,5,
127,1916,6.89,Scotland,sum,11.76,
128,1916,6.89,Scotland,aut,7.85,
129,1917,6.37,Scotland,win,1.3,
130,1917,6.37,Scotland,spr,4.46,
131,1917,6.37,Scotland,sum,12.55,
132,1917,6.37,Scotland,aut,7.18,
133,1918,6.91,Scotland,win,2.32,
134,1918,6.91,Scotland,spr,6.16,
135,1918,6.91,Scotland,sum,11.98,
136,1918,6.91,Scotland,aut,6.36,
137,1919,6.15,Scotland,win,1.93,
138,1919,6.15,Scotland,spr,5.51,
139,1919,6.15,Scotland,sum,11.55,
140,1919,6.15,Scotland,aut,5.91,
141,1920,7.18,Scotland,win,2.95,
142,1920,7.18,Scotland,spr,6.07,
143,1920,7.18,Scotland,sum,11.39,
144,1920,7.18,Scotland,aut,8.33,
145,1921,7.68,Scotland,win,3.4,
146,1921,7.68,Scotland,spr,6.26,
147,1921,7.68,Scotland,sum,12.15,
148,1921,7.68,Scotland,aut,8.06,
149,1922,6.38,Scotland,win,3.08,
150,1922,6.38,Scotland,spr,5.1,
151,1922,6.38,Scotland,sum,10.61,
152,1922,6.38,Scotland,aut,6.98,
153,1923,6.61,Scotland,win,3.89,
154,1923,6.61,Scotland,spr,5.22,
155,1923,6.61,Scotland,sum,11.64,
156,1923,6.61,Scotland,aut,6.21,
157,1924,6.96,Scotland,win,2.65,
158,1924,6.96,Scotland,spr,4.76,
159,1924,6.96,Scotland,sum,11.51,
160,1924,6.96,Scotland,aut,7.78,
161,1925,6.85,Scotland,win,3.97,
162,1925,6.85,Scotland,spr,5.65,
163,1925,6.85,Scotland,sum,12.77,
164,1925,6.85,Scotland,aut,6.56,
165,1926,7.27,Scotland,win,2.58,
166,1926,7.27,Scotland,spr,6.28,
167,1926,7.27,Scotland,sum,12.65,
168,1926,7.27,Scotland,aut,6.51,
169,1927,6.72,Scotland,win,3.2,
170,1927,6.72,Scotland,spr,5.68,
171,1927,6.72,Scotland,sum,11.82,
172,1927,6.72,Scotland,aut,7.13,
173,1928,6.9,Scotland,win,2.36,
174,1928,6.9,Scotland,spr,5.93,
175,1928,6.9,Scotland,sum,11.09,
176,1928,6.9,Scotland,aut,7.51,
177,1929,6.74,Scotland,win,1.11,
178,1929,6.74,Scotland,spr,6.12,
179,1929,6.74,Scotland,sum,11.63,
180,1929,6.74,Scotland,aut,7.62,
181,1930,6.92,Scotland,win,2.39,
182,1930,6.92,Scotland,spr,5.54,
183,1930,6.92,Scotland,sum,12.47,
184,1930,6.92,Scotland,aut,7.32,
185,1931,6.86,Scotland,win,2.32,
186,1931,6.86,Scotland,spr,5.28,
187,1931,6.86,Scotland,sum,11.55,
188,1931,6.86,Scotland,aut,7.64,
189,1932,7.22,Scotland,win,4.4,
"Showing 1 to 20 of 2,224 entries, 6 total columns",,,,,,
